geo,time,iq_spi_ovrl
afg,2016,37.22292
afg,2017,42.57792
afg,2018,49.845
afg,2019,49.75625
ago,2016,43.73542
ago,2017,46.68958
ago,2018,55.23208
ago,2019,54.94583
alb,2016,63.905
alb,2017,67.65833
alb,2018,77.59667
alb,2019,75.38292
are,2016,51.04
are,2017,58.67667
are,2018,59.25667
are,2019,59.66917
arg,2016,61.45833
arg,2017,65.08583
arg,2018,65.27292
arg,2019,64.59583
arm,2016,79.07167
arm,2017,81.37625
arm,2018,82.39042
arm,2019,82.22667
aus,2016,87.41667
aus,2017,89.06333
aus,2018,88.36417
aus,2019,88.24167
aut,2016,87.98875
aut,2017,87.89625
aut,2018,89.505
aut,2019,89.12
aze,2016,53.79875
aze,2017,60.245
aze,2018,68.15625
aze,2019,68.14125
bdi,2016,50.135
bdi,2017,54.16208
bdi,2018,54.49417
bdi,2019,50.91333
bel,2016,74.9525
bel,2017,75.57708
bel,2018,81.7975
bel,2019,82.415
ben,2016,46.16042
ben,2017,48.67042
ben,2018,50.12958
ben,2019,48.04625
bfa,2016,49.1275
bfa,2017,51.41583
bfa,2018,53.68
bfa,2019,53.62333
bgd,2016,56.8175
bgd,2017,59.26208
bgd,2018,59.02083
bgd,2019,58.07
bgr,2016,75.01375
bgr,2017,76.75125
bgr,2018,82.66833
bgr,2019,82.32333
bhr,2016,44.68875
bhr,2017,46.99833
bhr,2018,52.8175
bhr,2019,54.46667
bhs,2016,40.35708
bhs,2017,42.37333
bhs,2018,52.59583
bhs,2019,50.12417
bih,2016,54.70708
bih,2017,55.20208
bih,2018,61.23
bih,2019,61.2375
blr,2016,65.74792
blr,2017,65.42333
blr,2018,75.45708
blr,2019,77.13458
blz,2016,47.71583
blz,2017,51.70125
blz,2018,58.50292
blz,2019,58.75542
bol,2016,57.44417
bol,2017,60.7525
bol,2018,62.0725
bol,2019,62.65625
bra,2016,72.94708
bra,2017,72.08333
bra,2018,75.45
bra,2019,76.75375
btn,2016,47.16792
btn,2017,52.355
btn,2018,52.24542
btn,2019,51.99125
bwa,2016,45.92125
bwa,2017,56.865
bwa,2018,56.48042
bwa,2019,57.34917
can,2016,86.27958
can,2017,86.44875
can,2018,86.57083
can,2019,87.46583
che,2016,86.05792
che,2017,86.92333
che,2018,88.25583
che,2019,87.015
chl,2016,79.68125
chl,2017,78.92167
chl,2018,80.50458
chl,2019,82.43708
chn,2016,53.63625
chn,2017,55.1675
chn,2018,55.53625
chn,2019,58.21833
civ,2016,50.35667
civ,2017,55.67
civ,2018,57.27833
civ,2019,56.10833
cmr,2016,52.99667
cmr,2017,57.04
cmr,2018,57.39833
cmr,2019,53.47667
cod,2017,32.79125
cod,2018,40.28625
cod,2019,33.75333
cog,2016,42.67208
cog,2017,37.62833
cog,2018,36.66167
cog,2019,36.57667
col,2016,71.59
col,2017,71.6525
col,2018,71.11208
col,2019,73.76542
cpv,2016,52.6725
cpv,2017,55.24375
cpv,2018,54.55625
cpv,2019,54.66875
cri,2016,72.03625
cri,2017,77.91667
cri,2018,76.68917
cri,2019,79.77792
cyp,2016,71.34792
cyp,2017,71.6475
cyp,2018,80.7175
cyp,2019,80.78125
cze,2016,78.0025
cze,2017,78.47125
cze,2018,85.21583
cze,2019,85.06083
deu,2016,84.90667
deu,2017,85.56792
deu,2018,87.44167
deu,2019,87.49792
dji,2016,25.63042
dji,2017,29.54
dji,2018,37.10167
dji,2019,36.60625
dnk,2016,77.44333
dnk,2017,79.11792
dnk,2018,86.33958
dnk,2019,86.11708
dom,2016,60.205
dom,2017,63.40833
dom,2018,60.89667
dom,2019,63.93958
dza,2016,41.55708
dza,2017,45.70125
dza,2018,52.745
dza,2019,55.14917
ecu,2016,70.87292
ecu,2017,71.53708
ecu,2018,73.41375
ecu,2019,72.95
egy,2016,75.93958
egy,2017,74.41208
egy,2018,74.545
egy,2019,74.07083
esp,2016,86.09083
esp,2017,86.78708
esp,2018,87.84542
esp,2019,88.85417
est,2016,80.59458
est,2017,80.18792
est,2018,86.755
est,2019,86.07375
eth,2016,50.81542
eth,2017,55.53875
eth,2018,53.59292
eth,2019,53.59917
fin,2016,87.46125
fin,2017,88.54583
fin,2018,88.7175
fin,2019,88.4775
fji,2016,54.48625
fji,2017,58.99833
fji,2018,58.14125
fji,2019,57.60083
fra,2016,84.88042
fra,2017,86.52667
fra,2018,86.60708
fra,2019,86.34833
fsm,2016,21.48583
fsm,2017,23.99792
fsm,2018,24.45583
fsm,2019,23.81958
gab,2016,23.19875
gab,2017,27.99833
gab,2018,27.57208
gab,2019,28.05458
gbr,2016,82.00667
gbr,2017,83.14167
gbr,2018,83.30458
gbr,2019,83.15333
geo,2016,73.70833
geo,2017,76.91333
geo,2018,75.44625
geo,2019,80.06042
gha,2016,56.83917
gha,2017,60.16708
gha,2018,60.17333
gha,2019,61.99583
gin,2016,39.86542
gin,2017,41.82417
gin,2018,39.96792
gin,2019,45.87542
gmb,2016,42.62208
gmb,2017,46.89292
gmb,2018,48.63917
gmb,2019,44.01875
gnb,2016,32.3475
gnb,2017,41.075
gnb,2018,41.68667
gnb,2019,33.4025
grc,2016,82.54917
grc,2017,83.86875
grc,2018,84.44708
grc,2019,85.36083
gtm,2016,59.01667
gtm,2017,62.32333
gtm,2018,62.4625
gtm,2019,61.03292
guy,2016,35.55667
guy,2017,32.7125
guy,2018,42.47083
guy,2019,41.48958
hnd,2016,58.21125
hnd,2017,60.54292
hnd,2018,61.07
hnd,2019,61.17625
hrv,2016,66.43333
hrv,2017,61.02
hrv,2018,66.45167
hrv,2019,68.38417
hti,2016,36.18667
hti,2017,38.335
hti,2018,44.9125
hti,2019,37.51625
hun,2016,83.75167
hun,2017,84.53667
hun,2018,84.96667
hun,2019,84.83417
idn,2016,68.56458
idn,2017,70.45417
idn,2018,72.35125
idn,2019,72.2025
ind,2016,67.38542
ind,2017,64.6625
ind,2018,69.08208
ind,2019,70.36708
irl,2016,83.93042
irl,2017,85.64958
irl,2018,86.2975
irl,2019,87.0375
irn,2016,45.67875
irn,2017,49.14167
irn,2018,56.93208
irn,2019,56.68833
irq,2016,38.46083
irq,2017,36.03333
irq,2018,35.47792
irq,2019,34.80167
isl,2016,69.44167
isl,2017,71.71958
isl,2018,78.11458
isl,2019,77.83333
isr,2016,74.71
isr,2017,77.34167
isr,2018,77.35333
isr,2019,78.13583
ita,2016,90.29083
ita,2017,90.13708
ita,2018,90.11458
ita,2019,89.79583
jam,2016,50.69542
jam,2017,49.75583
jam,2018,55.32042
jam,2019,54.64292
jor,2016,58.6825
jor,2017,58.17208
jor,2018,58.71667
jor,2019,62.01042
jpn,2016,75.115
jpn,2017,76.71667
jpn,2018,85.35917
jpn,2019,85.80917
kaz,2016,71.00625
kaz,2017,72.11417
kaz,2018,78.93167
kaz,2019,78.55917
ken,2016,55.91667
ken,2017,57.32792
ken,2018,54.96292
ken,2019,54.53792
kgz,2016,78.59083
kgz,2017,77.62792
kgz,2018,75.82125
kgz,2019,78.6325
khm,2016,56.46292
khm,2017,57.53958
khm,2018,56.51
khm,2019,56.2025
kir,2016,22.05958
kir,2017,24.37
kir,2018,24.1175
kir,2019,24.4975
kor,2016,76.16708
kor,2017,78.50208
kor,2018,84.81458
kor,2019,88.28375
kwt,2016,50.37333
kwt,2017,55.25
kwt,2018,60.89417
kwt,2019,64.22292
lao,2016,44.67208
lao,2017,48.34042
lao,2018,48.87875
lao,2019,54.11208
lbn,2016,33.08292
lbn,2017,37.91458
lbn,2018,45.44292
lbn,2019,51.87042
lbr,2016,44.60625
lbr,2017,47.84083
lbr,2018,48.10625
lbr,2019,49.42833
lby,2016,23.945
lby,2017,23.23083
lby,2018,23.40917
lby,2019,21.4075
lca,2016,51.68
lca,2017,47.99292
lca,2018,50.96542
lca,2019,50.88417
lka,2016,71.02083
lka,2017,72.45042
lka,2018,72.29417
lka,2019,72.58292
lso,2016,49.03875
lso,2017,54.37708
lso,2018,55.70417
lso,2019,55.22542
ltu,2016,78.56917
ltu,2017,78.65083
ltu,2018,85.43875
ltu,2019,84.93375
lux,2016,68.69417
lux,2017,70.98833
lux,2018,78.73375
lux,2019,78.20125
lva,2016,83.88208
lva,2017,84.33958
lva,2018,83.99917
lva,2019,83.71917
mar,2016,57.685
mar,2017,57.00958
mar,2018,59.8575
mar,2019,59.01625
mda,2016,71.2125
mda,2017,69.23792
mda,2018,75.62125
mda,2019,79.3225
mdg,2016,39.04875
mdg,2017,41.69
mdg,2018,50.1875
mdg,2019,51.98042
mdv,2016,49.55917
mdv,2017,49.45
mdv,2018,50.735
mdv,2019,52.8975
mex,2016,80.35417
mex,2017,88.72083
mex,2018,87.76833
mex,2019,87.50708
mhl,2016,13.5125
mhl,2017,20.15208
mhl,2018,20.96042
mhl,2019,20.86042
mkd,2016,61.60708
mkd,2017,65.03625
mkd,2018,70.14875
mkd,2019,72.03875
mli,2016,48.18458
mli,2017,52.36958
mli,2018,54.58667
mli,2019,51.92792
mlt,2016,73.28042
mlt,2017,73.42625
mlt,2018,73.78833
mlt,2019,74.61833
mmr,2016,43.42
mmr,2017,53.5525
mmr,2018,60.93667
mmr,2019,63.76292
mne,2016,56.93333
mne,2017,59.95542
mne,2018,64.74042
mne,2019,67.01917
mng,2016,67.84167
mng,2017,73.77208
mng,2018,76.46208
mng,2019,76.28333
moz,2016,50.00542
moz,2017,55.39083
moz,2018,54.77458
moz,2019,56.24042
mrt,2016,36.85417
mrt,2017,40.78458
mrt,2018,46.61875
mrt,2019,48.06875
mus,2016,75.3975
mus,2017,76.30917
mus,2018,77.30125
mus,2019,75.91375
mwi,2016,53.79917
mwi,2017,55.78833
mwi,2018,53.84792
mwi,2019,56.49042
mys,2016,61.84375
mys,2017,64.69583
mys,2018,72.61417
mys,2019,71.05042
nam,2016,49.53708
nam,2017,52.60583
nam,2018,52.18167
nam,2019,52.21417
ner,2016,53.62792
ner,2017,56.25458
ner,2018,56.54583
ner,2019,57.01583
nga,2016,51.78708
nga,2017,49.20542
nga,2018,49.73375
nga,2019,53.57542
nic,2016,45.18125
nic,2017,45.6275
nic,2018,49.52417
nic,2019,51.65792
nld,2016,78.14417
nld,2017,80.21625
nld,2018,87.90958
nld,2019,87.95583
nor,2016,78.82208
nor,2017,82.61625
nor,2018,90.1625
nor,2019,90.09375
npl,2016,49.44833
npl,2017,54.91167
npl,2018,53.89583
npl,2019,53.56583
nzl,2016,78.96292
nzl,2017,83.5525
nzl,2018,83.26
nzl,2019,85.26375
omn,2016,48.91
omn,2017,56.62083
omn,2018,57.60125
omn,2019,58.53625
pak,2016,56.25333
pak,2017,58.325
pak,2018,61.04458
pak,2019,60.67542
pan,2016,49.93417
pan,2017,52.61792
pan,2018,57.90833
pan,2019,59.58458
per,2016,64.23042
per,2017,67.455
per,2018,69.10625
per,2019,68.84625
phl,2016,73.24375
phl,2017,74.49208
phl,2018,75.87958
phl,2019,75.72333
png,2016,27.30542
png,2017,33.065
png,2018,40.925
png,2019,40.84625
pol,2016,81.71958
pol,2017,82.58417
pol,2018,88.55958
pol,2019,89.07083
prt,2016,83.965
prt,2017,85.80375
prt,2018,85.55917
prt,2019,85.51917
pry,2016,54.35708
pry,2017,57.08083
pry,2018,58.97208
pry,2019,61.05625
pse,2017,60.83833
pse,2018,70.20125
pse,2019,70.42958
qat,2016,49.64958
qat,2017,52.20667
qat,2018,52.36125
qat,2019,63.01167
rou,2017,70.455
rou,2018,76.49917
rou,2019,77.50792
rus,2016,71.59083
rus,2017,73.53292
rus,2018,75.71333
rus,2019,78.19042
rwa,2016,60.12292
rwa,2017,67.40167
rwa,2018,66.70625
rwa,2019,67.29208
sau,2016,46.36542
sau,2017,50.89333
sau,2018,59.12167
sau,2019,63.38542
sdn,2016,35.53708
sdn,2017,35.98542
sdn,2018,44.085
sdn,2019,39.16125
sen,2016,53.0725
sen,2017,58.3825
sen,2018,61.50375
sen,2019,63.57375
sgp,2016,62.80208
sgp,2017,65.2475
sgp,2018,74.26167
sgp,2019,75.09917
slb,2016,33.37333
slb,2017,36.93625
slb,2018,42.77333
slb,2019,41.66458
sle,2016,45.09458
sle,2017,49.49167
sle,2018,53.21333
sle,2019,52.77833
slv,2016,66.03958
slv,2017,67.12083
slv,2018,68.10833
slv,2019,68.80333
som,2017,11.76958
som,2018,19.67917
som,2019,19.61792
srb,2016,69.01417
srb,2017,73.73708
srb,2018,75.28542
srb,2019,75.79292
ssd,2016,30.105
ssd,2017,23.28083
ssd,2018,24.69583
ssd,2019,30.48917
stp,2016,46.18167
stp,2017,49.41167
stp,2018,49.71167
stp,2019,39.87083
sur,2016,35.84625
sur,2017,41.79625
sur,2018,52.71
sur,2019,50.80292
svk,2016,82.20208
svk,2017,85.67
svk,2018,85.71625
svk,2019,85.595
svn,2016,86.86625
svn,2017,88.30792
svn,2018,89.01
svn,2019,88.93125
swe,2016,88.02958
swe,2017,88.67125
swe,2018,88.72167
swe,2019,88.52417
swz,2016,42.53792
swz,2017,45.69042
swz,2018,53.71542
swz,2019,47.18708
syc,2017,48.26833
syc,2018,48.30042
syc,2019,48.63417
syr,2017,21.77792
syr,2018,25.98875
syr,2019,26.45375
tcd,2016,28.50292
tcd,2017,31.70667
tcd,2018,31.57667
tcd,2019,38.54333
tgo,2016,51.70833
tgo,2017,57.78
tgo,2018,60.59917
tgo,2019,60.88042
tha,2016,77.35208
tha,2017,75.91042
tha,2018,76.35333
tha,2019,76.11083
tjk,2016,50.21958
tjk,2017,54.94917
tjk,2018,55.51667
tjk,2019,55.76042
tkm,2016,19.49333
tkm,2017,22.555
tkm,2018,20.98708
tkm,2019,23.47083
tls,2017,44.83875
tls,2018,51.27833
tls,2019,51.04208
tto,2016,36.42375
tto,2017,40.9975
tto,2018,48.51792
tto,2019,42.05
tun,2016,61.57417
tun,2017,59.48792
tun,2018,63.885
tun,2019,64.0675
tur,2016,80.47875
tur,2017,85.03625
tur,2018,85.82333
tur,2019,84.63792
tza,2016,61.57583
tza,2017,64.81708
tza,2018,58.02125
tza,2019,58.07125
uga,2016,65.27125
uga,2017,69.11667
uga,2018,68.01167
uga,2019,67.57083
ukr,2016,67.34458
ukr,2017,68.25292
ukr,2018,69.56792
ukr,2019,72.48417
ury,2016,66.19917
ury,2017,69.00417
ury,2018,68.4675
ury,2019,66.82542
usa,2016,89.63667
usa,2017,87.10917
usa,2018,88.91625
usa,2019,88.92375
uzb,2016,38.73125
uzb,2017,44.625
uzb,2018,51.21292
uzb,2019,54.91
vct,2016,35.51542
vct,2017,37.91792
vct,2018,44.7375
vct,2019,43.93125
ven,2016,45.19
ven,2017,48.16792
ven,2018,45.03833
ven,2019,43.865
vnm,2016,60.37833
vnm,2017,64.455
vnm,2018,66.625
vnm,2019,65.95875
vut,2016,37.81167
vut,2017,40.5075
vut,2018,39.50917
vut,2019,40.69167
wsm,2016,52.83583
wsm,2017,58.24542
wsm,2018,58.56708
wsm,2019,57.04708
yem,2016,38.26542
yem,2017,42.44125
yem,2018,38.9
yem,2019,36.77125
zaf,2016,76.15208
zaf,2017,75.93542
zaf,2018,75.41625
zaf,2019,73.475
zmb,2016,54.41417
zmb,2017,58.77708
zmb,2018,59.50917
zmb,2019,59.01417
zwe,2016,42.64458
zwe,2017,50.33583
zwe,2018,59.51
zwe,2019,61.6525
