geo,time,se_prm_nint_zs
abw,1999,84.93788
abw,2000,83.06893
abw,2003,81
abw,2004,78.41314
abw,2005,80.57755
abw,2009,92.12474
afg,2007,51.91872
afg,2011,77.17424
afg,2014,68.9623
afg,2015,69.8659
ago,1998,19.86296
ago,2008,49.72806
ago,2009,52.55945
ago,2010,53.45547
alb,2010,73.40068
alb,2011,71.77423
alb,2012,77.49642
alb,2013,78.97057
alb,2014,77.16133
alb,2015,76.92378
alb,2016,75.98393
alb,2017,84.09642
alb,2018,80.19315
are,2007,41.86953
are,2012,48.23478
are,2013,46.40706
are,2015,46.50706
are,2017,47.24948
arm,2002,70.09584
arm,2014,88.0112
arm,2015,88.55052
arm,2016,91.22499
arm,2017,89.74836
arm,2018,85.78274
atg,2000,94.86139
atg,2009,65.45718
atg,2010,69.80015
atg,2011,74.84802
atg,2012,55.84024
atg,2014,73.83684
atg,2017,62.93103
atg,2018,70.87447
aze,1998,82.1585
aze,1999,85.94741
aze,2002,60.85538
aze,2003,62.70848
aze,2004,66.21266
aze,2005,62.51175
aze,2006,64.55885
aze,2007,66.56135
aze,2008,70.93465
aze,2009,71.04121
aze,2010,67.98925
aze,2011,76.33033
aze,2012,77.91141
aze,2013,80.75003
aze,2014,79.34951
aze,2015,72.91388
aze,2018,74.04367
bdi,2000,25.76341
bdi,2003,31.16036
bdi,2004,33.88077
bdi,2005,33.05681
bdi,2006,55.43466
bdi,2007,53.15391
bdi,2009,57.76883
bdi,2010,73.32153
bdi,2011,72.7132
bdi,2012,72.29119
bdi,2013,73.35779
bdi,2014,73.10135
bdi,2015,71.05146
bdi,2016,66.92737
bdi,2017,58.01027
bdi,2018,57.6223
ben,2003,48.04973
ben,2004,50.08754
ben,2005,49.95432
ben,2010,60.94607
ben,2011,56.85679
ben,2018,50.80783
bfa,1999,19.71465
bfa,2000,21.43813
bfa,2001,21.81568
bfa,2002,19.16113
bfa,2003,22.91003
bfa,2004,26.41864
bfa,2005,30.30641
bfa,2006,28.09383
bfa,2007,33.53752
bfa,2008,43.22088
bfa,2009,34.29058
bfa,2010,19.92227
bfa,2011,16.55693
bfa,2012,27.71162
bfa,2013,29.43959
bfa,2015,27.00688
bfa,2017,46.23179
bfa,2018,44.12488
bgd,2006,87.76888
bgd,2007,93.72251
bgd,2008,94.29818
bgd,2009,96.08297
bgd,2010,93.09828
bgr,2002,86.06668
bgr,2013,85.91125
bgr,2014,85.21633
bgr,2015,82.25615
bgr,2016,80.5926
bgr,2017,82.67519
bhr,1999,85.56877
bhr,2000,79.4942
bhr,2001,77.26612
bhr,2002,74.02687
bhr,2003,74.21289
bhr,2004,74.06913
bhr,2005,72.78351
bhr,2006,77.51577
bhr,2008,73.82841
bhr,2009,75.04174
bhr,2010,79.96438
bhr,2011,81.38917
bhr,2012,82.15306
bhr,2013,78.34793
bhr,2014,81.78942
bhr,2015,84.85334
bhr,2016,84.33769
bhr,2017,87.36239
bhr,2018,83.7714
bhs,1999,83.48956
bhs,2005,69.12851
bhs,2006,66.58106
bhs,2007,65.96154
bhs,2008,61.89713
bhs,2009,58.22927
bhs,2011,64.19228
bhs,2012,59.57649
bhs,2013,60.71995
bhs,2014,60.66699
bhs,2015,66.47277
bhs,2016,60.66468
bhs,2017,17.59465
bhs,2018,55.46987
blr,1999,78.13804
blr,2000,82.72491
blr,2012,77.53768
blr,2013,78.59688
blr,2014,80.19071
blr,2015,80.96338
blr,2016,83.61685
blr,2017,78.59767
blr,2018,74.79655
blz,2000,72.962
blz,2001,69.48252
blz,2004,59.04662
blz,2006,62.07294
blz,2007,61.73691
blz,2008,59.99233
blz,2009,60.45292
blz,2010,64.75179
blz,2011,62.44108
blz,2012,64.05909
blz,2013,64.25228
blz,2014,64.94927
blz,2015,62.78828
blz,2016,62.62815
blz,2017,64.16645
blz,2018,61.51221
bmu,2010,75.24205
bmu,2011,75.56497
bmu,2012,73.38129
bol,1999,72.99946
bol,2000,71.20826
bol,2001,71.76923
bol,2002,73.53525
bol,2003,73.54246
bol,2004,73.63424
bol,2005,74.90522
bol,2006,73.46611
bol,2007,67.96084
bol,2008,55.84847
bol,2009,60.68759
bol,2010,60.55724
bol,2011,62.64916
bol,2012,75.2899
bol,2013,80.78981
bol,2014,84.11499
bol,2015,87.86457
bol,2016,91.09939
bol,2017,96.55155
bol,2018,95.94565
brb,1999,77.03207
brb,2000,71.80442
brb,2001,73.4775
brb,2002,73.75887
brb,2003,82.27226
brb,2004,82.5588
brb,2005,86.0111
brb,2006,79.51523
brb,2007,83.08224
brb,2008,86.10282
brb,2009,74.19957
brb,2010,77.9634
brb,2011,74.48331
brb,2014,88.42999
brb,2017,84.35874
brb,2018,92.25928
brn,2005,65.47618
brn,2008,66.88136
brn,2009,64.49653
brn,2010,70.28861
brn,2012,71.29938
brn,2013,74.59535
brn,2014,68.08408
brn,2017,67.86725
brn,2018,68.61086
btn,2005,28.87473
btn,2013,51.97143
btn,2014,63.65549
btn,2018,63.82402
bwa,1998,23.18114
bwa,1999,23.35133
bwa,2000,23.97244
bwa,2001,26.00116
bwa,2012,51.52022
bwa,2013,51.37663
bwa,2014,42.32975
caf,2010,37.67683
che,2003,55.58124
chl,2013,81.8872
chl,2014,82.59019
chl,2015,83.41494
chl,2017,81.88078
chn,2015,76.77472
chn,2016,80.36587
chn,2017,81.4031
chn,2018,82.37967
civ,1998,25.74948
civ,1999,27.34707
civ,2000,25.28443
civ,2002,24.64561
civ,2003,26.02471
civ,2014,40.53191
civ,2015,42.62463
civ,2016,68.11865
civ,2017,67.16395
civ,2018,73.3215
cmr,2009,53.10595
cmr,2011,81.83182
cmr,2014,66.81139
cmr,2015,65.38293
cmr,2016,66.65522
cmr,2017,64.79706
cmr,2018,58.3145
cod,1999,24.98165
cod,2007,46.36393
cod,2008,51.67905
cod,2009,54.98951
cod,2010,53.91919
cod,2011,59.60203
cod,2013,67.61759
cod,2014,68.54016
cog,2000,45.55816
cog,2006,52.56738
cog,2010,48.00389
col,2007,63.10285
col,2008,66.50582
col,2009,66.69543
col,2010,66.28762
col,2011,68.89288
col,2012,69.56287
col,2013,71.54893
col,2014,68.67986
col,2015,67.57674
col,2016,67.83682
col,2017,66.02623
col,2018,68.53583
com,1999,18.87407
com,2013,45.7064
com,2014,42.32903
cpv,2000,65.07912
cpv,2002,67.90094
cpv,2003,77.15405
cpv,2004,75.67613
cpv,2005,84.43071
cpv,2006,82.85401
cpv,2007,86.72698
cpv,2008,85.11119
cpv,2009,90.01135
cpv,2010,91.8011
cpv,2011,92.80031
cpv,2013,95.20085
cpv,2014,95.67704
cpv,2015,93.24193
cpv,2016,90.79755
cpv,2017,96.4438
cpv,2018,97.056
cri,2011,92.16173
cri,2012,91.75788
cri,2013,89.93661
cri,2014,92.64115
cri,2015,91.90554
cri,2016,91.33828
cri,2017,91.26833
cri,2018,84.32196
cub,1999,90.6666
cub,2000,92.62052
cub,2001,93.43273
cub,2002,95.77735
cub,2003,91.90368
cub,2004,97.11803
cub,2005,97.47904
cub,2006,97.4101
cub,2007,94.31054
cub,2008,93.92637
cub,2009,98.44753
cub,2010,98.75503
cub,2011,95.13865
cub,2012,92.26127
cub,2013,86.64111
cub,2014,88.78591
cub,2015,97.83475
cub,2016,98.92533
cub,2017,98.61384
cub,2018,96.90009
cyp,2002,91.00905
cyp,2014,92.57469
cze,2013,48.94702
cze,2017,49.25594
dji,1999,21.58237
dji,2000,22.1954
dji,2005,33.88201
dji,2007,42.51753
dji,2012,52.05292
dji,2017,57.39819
dji,2018,57.43407
dji,2019,65.75464
dma,1999,77.42903
dma,2001,59.72823
dma,2003,53.37884
dma,2004,49.92625
dma,2007,75.70495
dma,2008,69.60932
dma,2009,67.98881
dma,2011,73.33002
dma,2014,67.45367
dnk,2000,86.06932
dnk,2005,72.77335
dnk,2009,80.56791
dom,2000,55.71048
dom,2002,57.47038
dom,2007,75.46132
dom,2008,58.5656
dom,2010,64.84851
dom,2011,65.62519
dom,2012,71.29607
dom,2013,71.39003
dom,2014,74.74086
dom,2015,82.93869
dom,2016,84.33561
dom,2017,84.01261
dom,2018,87.79431
dza,1999,75.37659
dza,2000,74.61184
dza,2001,77.88235
dza,2002,90.76302
dza,2003,85.90995
dza,2004,86.80507
dza,2005,85.32024
dza,2006,84.02328
dza,2007,87.09963
dza,2008,86.78638
dza,2009,86.94388
dza,2010,88.76639
dza,2011,88.03882
dza,2013,86.74821
dza,2014,85.64847
dza,2015,85.56504
dza,2016,85.86313
dza,2017,85.56878
dza,2018,86.75852
ecu,1998,79.95076
ecu,1999,79.91931
ecu,2001,82.2911
ecu,2002,81.86431
ecu,2003,81.7257
ecu,2004,79.38011
ecu,2005,77.2377
ecu,2006,82.68762
ecu,2007,83.0494
ecu,2017,66.19755
ecu,2018,66.13251
egy,2009,86.9045
egy,2010,86.73375
egy,2016,87.97816
egy,2018,89.63758
eri,1999,24.68934
eri,2000,28.63514
eri,2001,40.09726
eri,2002,44.07567
eri,2003,47.71248
eri,2004,45.26506
eri,2005,46.7467
eri,2006,42.4303
eri,2008,30.45545
eri,2009,29.38978
eri,2010,29.79412
eri,2011,35.72795
eri,2012,32.45914
eri,2013,33.15416
eri,2015,29.57451
eri,2016,26.16824
eri,2017,26.00654
eri,2018,28.02324
esp,2002,97.14884
esp,2003,98.45605
esp,2004,98.06927
esp,2005,98.11708
esp,2006,99.06391
esp,2007,98.97487
esp,2008,98.44566
esp,2009,98.45205
esp,2011,98.03817
esp,2012,97.92084
esp,2015,97.7291
esp,2016,90.38292
esp,2017,89.84309
est,2013,81.28446
est,2014,75.04638
est,2015,75.52142
est,2016,75.79421
est,2017,73.64548
eth,1999,21.40394
eth,2004,30.66868
eth,2007,56.2427
eth,2008,69.32242
eth,2009,63.50168
eth,2010,60.58627
eth,2011,76.86932
eth,2015,79.07482
fji,1998,74.98564
fji,1999,72.65195
fji,2000,70.92155
fji,2001,74.64477
fji,2004,74.941
fji,2008,73.64722
fji,2011,77.07783
fji,2015,78.5851
fsm,2014,52.82378
fsm,2015,70.02519
gbr,2016,94.21587
gbr,2017,95.00529
geo,2008,88.31358
geo,2009,85.89741
geo,2011,91.48113
geo,2012,85.36864
geo,2013,74.09801
geo,2014,75.02807
geo,2015,85.59591
geo,2016,79.1703
geo,2017,78.08843
geo,2018,69.21458
gha,1999,29.65958
gha,2003,23.0417
gha,2005,27.92984
gha,2006,33.95053
gha,2007,35.28957
gha,2008,37.88426
gha,2009,37.10044
gin,1999,18.84504
gin,2000,22.2778
gin,2002,25.10816
gin,2003,31.32691
gin,2004,33.83944
gin,2005,34.45778
gin,2006,36.31625
gin,2007,38.20244
gin,2008,38.98734
gin,2009,43.21072
gin,2012,49.12122
gin,2014,48.59311
gin,2016,58.64898
gmb,1998,35.09387
gmb,2005,48.69499
gmb,2006,49.83097
gmb,2007,48.19146
gmb,2013,43.03412
gmb,2016,44.69723
gnb,2010,40.10579
gnq,2008,24.18276
gnq,2009,20.12016
gnq,2010,21.67848
gnq,2011,23.54457
gnq,2012,21.67462
gnq,2015,20.02932
grc,1998,88.95666
grc,1999,96.319
grc,2000,94.30699
grc,2001,95.57453
grc,2002,92.24376
grc,2003,93.65931
grc,2004,93.81374
grc,2013,0
grc,2014,94.47524
grd,1999,66.32909
grd,2007,79.74786
grd,2008,78.45627
gtm,1999,54.51003
gtm,2000,58.60414
gtm,2001,59.26184
gtm,2002,60.70643
gtm,2004,66.99862
gtm,2005,67.52523
gtm,2006,70.34123
gtm,2007,72.30028
gtm,2008,71.5714
gtm,2009,71.53278
gtm,2010,65.41118
gtm,2011,55.69028
gtm,2012,54.49387
gtm,2013,57.0159
gtm,2014,60.8154
gtm,2015,63.7132
gtm,2016,69.22755
gtm,2017,66.29979
gtm,2018,66.16095
guy,2007,58.72021
guy,2011,68.73427
guy,2012,66.57592
hkg,2016,85.22928
hkg,2017,84.75255
hnd,2000,47.33589
hnd,2003,48.41237
hnd,2004,54.70354
hnd,2006,60.41143
hnd,2008,54.48706
hnd,2009,58.2773
hnd,2010,58.54988
hnd,2011,63.21988
hnd,2012,64.43404
hnd,2013,61.54365
hnd,2014,64.72789
hnd,2015,65.22498
hnd,2016,68.94176
hnd,2017,69.72006
hrv,1999,69.9002
hrv,2000,68.21014
hrv,2001,68.15932
hrv,2002,69.93523
hrv,2003,73.22749
hun,2015,62.33849
hun,2016,60.58735
hun,2017,60.12698
idn,2001,44.32269
idn,2002,45.79188
idn,2003,38.21255
idn,2004,37.07319
idn,2006,38.4023
idn,2007,42.19037
idn,2008,39.20302
idn,2009,38.67867
idn,2010,37.808
idn,2011,35.28079
idn,2012,31.72691
idn,2016,42.52977
idn,2017,43.46978
idn,2018,40.5485
ind,2014,57.43229
ind,2015,59.23146
irl,2013,59.32429
irl,2014,61.08753
irl,2015,63.03133
irl,2016,65.17258
irl,2017,66.57444
irn,2003,88.83283
irn,2006,94.00725
irn,2007,91.41184
irn,2009,81.50587
irn,2010,81.65659
irn,2011,81.4119
irn,2014,99.54835
irn,2016,99.81244
irn,2017,99.97757
irq,1999,84.44693
irq,2000,80.99363
irq,2004,85.66535
isl,1998,98.3737
isl,1999,98.01843
isl,2000,97.98221
isl,2001,94.35052
isl,2002,91.30341
isl,2003,95.27473
isl,2004,94.51899
isl,2005,97.5719
isl,2009,97.16959
isl,2010,98.06604
isl,2013,97.0772
isl,2014,97.38048
isl,2015,98.86412
isr,2013,82.86757
isr,2014,82.12767
isr,2015,84.80831
isr,2017,84.93472
jam,2015,69.48992
jam,2016,72.18035
jam,2018,67.79012
jor,1999,63.51368
jor,2000,65.31901
jor,2002,66.17218
jor,2003,65.20853
jor,2004,61.46172
jor,2017,79.38723
jor,2018,78.93267
kaz,2000,66.14933
kaz,2001,64.84963
kaz,2002,67.3008
kaz,2003,64.49013
kaz,2004,63.19083
kaz,2005,62.43334
kaz,2006,60.05111
kaz,2007,57.19451
kaz,2008,52.66022
kaz,2017,44.91038
kaz,2018,47.07235
kaz,2019,46.80753
ken,1999,26.84883
kgz,1999,58.11959
kgz,2000,58.19208
kgz,2001,60.50535
kgz,2002,62.83681
kgz,2003,64.26022
kgz,2004,60.52407
kgz,2005,58.86843
kgz,2006,62.35392
kgz,2007,61.49942
kgz,2008,60.37765
kgz,2009,59.0386
kgz,2010,61.59398
kgz,2011,61.27319
kgz,2012,60.89551
kgz,2013,56.83342
kgz,2014,56.03415
kgz,2015,55.66184
kgz,2016,58.01297
kgz,2017,57.85239
khm,1999,65.85426
khm,2000,74.57407
khm,2001,75.96209
khm,2002,76.85131
khm,2004,87.54993
khm,2005,92.36057
khm,2006,88.89884
khm,2007,92.10256
khm,2008,82.89604
khm,2010,87.66939
khm,2011,96.54259
khm,2012,94.34877
kir,2015,73.42927
kir,2017,82.07226
kna,2002,75.2567
kna,2003,72.91469
kna,2004,74.68992
kna,2007,68.11711
kna,2008,65.51724
kna,2010,68.63014
kna,2012,75.06879
kna,2013,74.44404
kor,1998,95.81168
kor,1999,96.52639
kor,2000,90.95208
kor,2001,91.49518
kor,2002,92.49999
kor,2003,91.42467
kor,2004,91.93471
kor,2005,93.31379
kor,2006,95.00804
kor,2007,97.80211
kor,2008,87.86821
kor,2009,76.92928
kor,2010,91.52953
kor,2011,93.52292
kwt,1999,63.35262
kwt,2000,64.7086
kwt,2001,67.84472
kwt,2002,71.49154
kwt,2003,65.61505
kwt,2004,65.63825
kwt,2005,56.42855
kwt,2007,59.09119
kwt,2008,66.69749
kwt,2012,63.23995
kwt,2013,62.54678
kwt,2016,58.35247
kwt,2017,56.24221
lao,1999,50.80353
lao,2000,54.69493
lao,2001,54.82228
lao,2002,57.7947
lao,2003,58.36992
lao,2004,59.90104
lao,2005,61.85014
lao,2006,65.03109
lao,2007,72.00479
lao,2008,73.89661
lao,2009,79.3303
lao,2010,86.37589
lao,2011,86.28574
lao,2012,90.00644
