geo,time,sh_sta_owgh_me_zs
afg,2000,5.2
afg,2001,5.4
afg,2002,5.6
afg,2003,5.7
afg,2004,5.7
afg,2005,5.8
afg,2006,5.8
afg,2007,5.8
afg,2008,5.7
afg,2009,5.7
afg,2010,5.6
afg,2011,5.5
afg,2012,5.3
afg,2013,5.2
afg,2014,5
afg,2015,4.8
afg,2016,4.6
afg,2017,4.4
afg,2018,4.3
afg,2019,4.1
afg,2020,3.9
ago,2000,3.1
ago,2001,3.2
ago,2002,3.3
ago,2003,3.4
ago,2004,3.4
ago,2005,3.4
ago,2006,3.3
ago,2007,3.2
ago,2008,3.1
ago,2009,3
ago,2010,3
ago,2011,2.9
ago,2012,2.9
ago,2013,2.9
ago,2014,2.9
ago,2015,3
ago,2016,3.1
ago,2017,3.1
ago,2018,3.2
ago,2019,3.4
ago,2020,3.5
alb,2000,18.7
alb,2001,20.2
alb,2002,21.6
alb,2003,22.8
alb,2004,23.8
alb,2005,24.5
alb,2006,24.8
alb,2007,24.9
alb,2008,24.7
alb,2009,24.3
alb,2010,23.6
alb,2011,22.7
alb,2012,21.7
alb,2013,20.6
alb,2014,19.4
alb,2015,18.3
alb,2016,17.3
alb,2017,16.4
alb,2018,15.7
alb,2019,15.1
alb,2020,14.6
arg,2000,11.6
arg,2001,11.8
arg,2002,11.9
arg,2003,11.9
arg,2004,12
arg,2005,12.1
arg,2006,12.2
arg,2007,12.2
arg,2008,12.2
arg,2009,12.3
arg,2010,12.3
arg,2011,12.4
arg,2012,12.4
arg,2013,12.4
arg,2014,12.4
arg,2015,12.5
arg,2016,12.6
arg,2017,12.7
arg,2018,12.8
arg,2019,12.9
arg,2020,12.9
arm,2000,12.3
arm,2001,13.2
arm,2002,14
arm,2003,14.8
arm,2004,15.5
arm,2005,16
arm,2006,16.3
arm,2007,16.5
arm,2008,16.5
arm,2009,16.3
arm,2010,15.9
arm,2011,15.4
arm,2012,14.8
arm,2013,14.1
arm,2014,13.3
arm,2015,12.6
arm,2016,12.1
arm,2017,11.6
arm,2018,11.3
arm,2019,11
arm,2020,10.8
aus,2000,8.2
aus,2001,8.5
aus,2002,8.9
aus,2003,9.3
aus,2004,9.8
aus,2005,10.3
aus,2006,10.7
aus,2007,11.2
aus,2008,11.7
aus,2009,12.3
aus,2010,13
aus,2011,13.6
aus,2012,14.2
aus,2013,14.9
aus,2014,15.5
aus,2015,16.1
aus,2016,16.7
aus,2017,17.3
aus,2018,17.7
aus,2019,18.2
aus,2020,18.5
aze,2000,7.3
aze,2001,7.8
aze,2002,8.4
aze,2003,8.9
aze,2004,9.5
aze,2005,9.9
aze,2006,10.4
aze,2007,10.8
aze,2008,11
aze,2009,11.2
aze,2010,11.3
aze,2011,11.2
aze,2012,11.1
aze,2013,10.8
aze,2014,10.5
aze,2015,10.2
aze,2016,9.9
aze,2017,9.7
aze,2018,9.6
aze,2019,9.5
aze,2020,9.4
bdi,2000,2.4
bdi,2001,2.5
bdi,2002,2.6
bdi,2003,2.6
bdi,2004,2.6
bdi,2005,2.6
bdi,2006,2.6
bdi,2007,2.5
bdi,2008,2.4
bdi,2009,2.4
bdi,2010,2.3
bdi,2011,2.3
bdi,2012,2.3
bdi,2013,2.4
bdi,2014,2.4
bdi,2015,2.5
bdi,2016,2.6
bdi,2017,2.7
bdi,2018,2.8
bdi,2019,3
bdi,2020,3.1
bel,2000,3.9
bel,2001,3.9
bel,2002,4
bel,2003,4
bel,2004,4
bel,2005,4
bel,2006,4.1
bel,2007,4.1
bel,2008,4.2
bel,2009,4.2
bel,2010,4.3
bel,2011,4.4
bel,2012,4.5
bel,2013,4.5
bel,2014,4.6
bel,2015,4.7
bel,2016,4.8
bel,2017,4.9
bel,2018,4.9
bel,2019,5
bel,2020,5.1
ben,2000,2.9
ben,2001,3
ben,2002,3.1
ben,2003,3.1
ben,2004,3
ben,2005,2.8
ben,2006,2.5
ben,2007,2.2
ben,2008,2
ben,2009,1.8
ben,2010,1.7
ben,2011,1.7
ben,2012,1.6
ben,2013,1.6
ben,2014,1.6
ben,2015,1.7
ben,2016,1.8
ben,2017,1.8
ben,2018,2
ben,2019,2.1
ben,2020,2.2
bfa,2000,2.6
bfa,2001,2.7
bfa,2002,2.8
bfa,2003,2.8
bfa,2004,2.8
bfa,2005,2.6
bfa,2006,2.4
bfa,2007,2.1
bfa,2008,1.9
bfa,2009,1.8
bfa,2010,1.7
bfa,2011,1.7
bfa,2012,1.7
bfa,2013,1.7
bfa,2014,1.8
bfa,2015,1.8
bfa,2016,2
bfa,2017,2.1
bfa,2018,2.3
bfa,2019,2.4
bfa,2020,2.6
bgd,2000,0.7
bgd,2001,0.7
bgd,2002,0.8
bgd,2003,0.9
bgd,2004,0.9
bgd,2005,1
bgd,2006,1.1
bgd,2007,1.2
bgd,2008,1.3
bgd,2009,1.4
bgd,2010,1.5
bgd,2011,1.6
bgd,2012,1.7
bgd,2013,1.8
bgd,2014,1.9
bgd,2015,1.9
bgd,2016,2
bgd,2017,2
bgd,2018,2.1
bgd,2019,2.1
bgd,2020,2.1
bgr,2000,8.6
bgr,2001,9.1
bgr,2002,9.5
bgr,2003,9.8
bgr,2004,10
bgr,2005,10.1
bgr,2006,10
bgr,2007,9.9
bgr,2008,9.7
bgr,2009,9.4
bgr,2010,9.1
bgr,2011,8.7
bgr,2012,8.2
bgr,2013,7.6
bgr,2014,7.1
bgr,2015,6.7
bgr,2016,6.3
bgr,2017,6
bgr,2018,5.9
bgr,2019,5.7
bgr,2020,5.7
bhr,2000,4.1
bhr,2001,4.2
bhr,2002,4.3
bhr,2003,4.4
bhr,2004,4.5
bhr,2005,4.7
bhr,2006,4.8
bhr,2007,5
bhr,2008,5.1
bhr,2009,5.2
bhr,2010,5.4
bhr,2011,5.5
bhr,2012,5.6
bhr,2013,5.7
bhr,2014,5.9
bhr,2015,6
bhr,2016,6
bhr,2017,6.1
bhr,2018,6.2
bhr,2019,6.3
bhr,2020,6.4
bih,2000,16.4
bih,2001,17.7
bih,2002,19
bih,2003,20
bih,2004,20.8
bih,2005,21.4
bih,2006,21.7
bih,2007,21.8
bih,2008,21.6
bih,2009,21.2
bih,2010,20.6
bih,2011,19.8
bih,2012,18.9
bih,2013,17.8
bih,2014,16.7
bih,2015,15.7
bih,2016,14.9
bih,2017,14.2
bih,2018,13.6
bih,2019,13.2
bih,2020,12.8
blr,2000,8.4
blr,2001,8.9
blr,2002,9.4
blr,2003,9.8
blr,2004,10.1
blr,2005,10.4
blr,2006,10.5
blr,2007,10.5
blr,2008,10.4
blr,2009,10.2
blr,2010,10
blr,2011,9.6
blr,2012,9.2
blr,2013,8.7
blr,2014,8.3
blr,2015,7.8
blr,2016,7.5
blr,2017,7.2
blr,2018,7
blr,2019,6.9
blr,2020,6.8
blz,2000,9
blz,2001,9.2
blz,2002,9.2
blz,2003,9.3
blz,2004,9.4
blz,2005,9.4
blz,2006,9.4
blz,2007,9.4
blz,2008,9.3
blz,2009,9.3
blz,2010,9.2
blz,2011,9.1
blz,2012,9
blz,2013,8.9
blz,2014,8.7
blz,2015,8.6
blz,2016,8.5
blz,2017,8.4
blz,2018,8.2
blz,2019,8.1
blz,2020,8
bol,2000,8.5
bol,2001,8.6
bol,2002,8.8
bol,2003,8.9
bol,2004,8.9
bol,2005,9
bol,2006,9.1
bol,2007,9.1
bol,2008,9.1
bol,2009,9.1
bol,2010,9.1
bol,2011,9
bol,2012,9
bol,2013,9
bol,2014,8.9
bol,2015,8.9
bol,2016,8.9
bol,2017,8.9
bol,2018,8.9
bol,2019,8.9
bol,2020,8.8
bra,2000,6.2
bra,2001,6.2
bra,2002,6.3
bra,2003,6.4
bra,2004,6.4
bra,2005,6.5
bra,2006,6.5
bra,2007,6.6
bra,2008,6.6
bra,2009,6.7
bra,2010,6.8
bra,2011,6.8
bra,2012,6.9
bra,2013,6.9
bra,2014,7
bra,2015,7.1
bra,2016,7.1
bra,2017,7.1
bra,2018,7.2
bra,2019,7.2
bra,2020,7.3
brb,2000,7.8
brb,2001,8
brb,2002,8.3
brb,2003,8.5
brb,2004,8.8
brb,2005,9.1
brb,2006,9.4
brb,2007,9.6
brb,2008,9.9
brb,2009,10.2
brb,2010,10.4
brb,2011,10.6
brb,2012,10.8
brb,2013,11
brb,2014,11.1
brb,2015,11.2
brb,2016,11.3
brb,2017,11.4
brb,2018,11.4
brb,2019,11.4
brb,2020,11.4
brn,2000,6.2
brn,2001,6.4
brn,2002,6.6
brn,2003,6.8
brn,2004,7
brn,2005,7.1
brn,2006,7.3
brn,2007,7.5
brn,2008,7.7
brn,2009,7.9
brn,2010,8.1
brn,2011,8.3
brn,2012,8.4
brn,2013,8.6
brn,2014,8.7
brn,2015,8.9
brn,2016,9
brn,2017,9.1
brn,2018,9.1
brn,2019,9.2
brn,2020,9.3
btn,2000,4.3
btn,2001,4.6
btn,2002,4.8
btn,2003,5
btn,2004,5.2
btn,2005,5.4
btn,2006,5.6
btn,2007,5.7
btn,2008,5.8
btn,2009,5.9
btn,2010,6
btn,2011,6.1
btn,2012,6.1
btn,2013,6.1
btn,2014,6
btn,2015,5.9
btn,2016,5.8
btn,2017,5.7
btn,2018,5.5
btn,2019,5.4
btn,2020,5.2
bwa,2000,9.4
bwa,2001,9.6
bwa,2002,9.7
bwa,2003,9.8
bwa,2004,10
bwa,2005,10.1
bwa,2006,10.2
bwa,2007,10.3
bwa,2008,10.4
bwa,2009,10.4
bwa,2010,10.5
bwa,2011,10.6
bwa,2012,10.6
bwa,2013,10.7
bwa,2014,10.7
bwa,2015,10.7
bwa,2016,10.8
bwa,2017,10.9
bwa,2018,10.9
bwa,2019,10.9
bwa,2020,11
caf,2000,6.6
caf,2001,6.7
caf,2002,6.8
caf,2003,6.7
caf,2004,6.5
caf,2005,6.1
caf,2006,5.7
caf,2007,5.2
caf,2008,4.8
caf,2009,4.4
caf,2010,4
caf,2011,3.7
caf,2012,3.5
caf,2013,3.2
caf,2014,3.1
caf,2015,2.9
caf,2016,2.8
caf,2017,2.7
caf,2018,2.7
caf,2019,2.6
caf,2020,2.6
can,2000,8.8
can,2001,9
can,2002,9.2
can,2003,9.4
can,2004,9.7
can,2005,9.9
can,2006,10
can,2007,10.2
can,2008,10.4
can,2009,10.6
can,2010,10.8
can,2011,11
can,2012,11.2
can,2013,11.3
can,2014,11.5
can,2015,11.6
can,2016,11.7
can,2017,11.7
can,2018,11.8
can,2019,11.8
can,2020,11.8
chl,2000,11.3
chl,2001,11.4
chl,2002,11.5
chl,2003,11.5
chl,2004,11.4
chl,2005,11.3
chl,2006,11.2
chl,2007,11.1
chl,2008,10.9
chl,2009,10.8
chl,2010,10.6
chl,2011,10.5
chl,2012,10.4
chl,2013,10.3
chl,2014,10.1
chl,2015,10.1
chl,2016,10
chl,2017,10
chl,2018,9.9
chl,2019,9.9
chl,2020,9.8
chn,2000,6.4
chn,2001,6.4
chn,2002,6.5
chn,2003,6.5
chn,2004,6.6
chn,2005,6.6
chn,2006,6.7
chn,2007,6.8
chn,2008,6.9
chn,2009,6.9
chn,2010,7
chn,2011,7.1
chn,2012,7.2
chn,2013,7.3
chn,2014,7.4
chn,2015,7.5
chn,2016,7.5
chn,2017,7.7
chn,2018,7.9
chn,2019,8.1
chn,2020,8.3
civ,2000,4.5
civ,2001,4.8
civ,2002,5
civ,2003,5
civ,2004,4.9
civ,2005,4.5
civ,2006,4.1
civ,2007,3.6
civ,2008,3.2
civ,2009,2.9
civ,2010,2.7
civ,2011,2.6
civ,2012,2.5
civ,2013,2.4
civ,2014,2.4
civ,2015,2.4
civ,2016,2.4
civ,2017,2.5
civ,2018,2.6
civ,2019,2.7
civ,2020,2.8
cmr,2000,8.3
cmr,2001,9
cmr,2002,9.6
cmr,2003,10
cmr,2004,10
cmr,2005,9.7
cmr,2006,9.1
cmr,2007,8.4
cmr,2008,7.8
cmr,2009,7.4
cmr,2010,7.1
cmr,2011,6.9
cmr,2012,6.9
cmr,2013,7
cmr,2014,7.2
cmr,2015,7.4
cmr,2016,7.8
cmr,2017,8.2
cmr,2018,8.6
cmr,2019,9.1
cmr,2020,9.6
cod,2000,6.5
cod,2001,6.8
cod,2002,6.9
cod,2003,7
cod,2004,6.9
cod,2005,6.7
cod,2006,6.4
cod,2007,6
cod,2008,5.6
cod,2009,5.3
cod,2010,5
cod,2011,4.8
cod,2012,4.6
cod,2013,4.5
cod,2014,4.3
cod,2015,4.3
cod,2016,4.2
cod,2017,4.2
cod,2018,4.2
cod,2019,4.2
cod,2020,4.2
cog,2000,6.6
cog,2001,6.9
cog,2002,7.1
cog,2003,7.2
cog,2004,7.1
cog,2005,6.9
cog,2006,6.6
cog,2007,6.3
cog,2008,6
cog,2009,5.7
cog,2010,5.4
cog,2011,5.2
cog,2012,5.1
cog,2013,5
cog,2014,4.9
cog,2015,4.9
cog,2016,4.8
cog,2017,4.9
cog,2018,4.9
cog,2019,5
cog,2020,5.1
col,2000,4.7
col,2001,4.7
col,2002,4.8
col,2003,4.8
col,2004,4.8
col,2005,4.8
col,2006,4.8
col,2007,4.9
col,2008,4.9
col,2009,5
col,2010,5.1
col,2011,5.1
col,2012,5.2
col,2013,5.3
col,2014,5.3
col,2015,5.4
col,2016,5.5
col,2017,5.6
col,2018,5.6
col,2019,5.7
col,2020,5.8
com,2000,12.3
com,2001,13.2
com,2002,13.8
com,2003,14.2
com,2004,14.4
com,2005,14.2
com,2006,13.9
com,2007,13.3
com,2008,12.8
com,2009,12.2
com,2010,11.7
com,2011,11.3
com,2012,10.9
com,2013,10.6
com,2014,10.4
com,2015,10.1
com,2016,10
com,2017,9.9
com,2018,9.8
com,2019,9.7
com,2020,9.6
cri,2000,8.5
cri,2001,8.5
cri,2002,8.6
cri,2003,8.6
cri,2004,8.6
cri,2005,8.6
cri,2006,8.6
cri,2007,8.5
cri,2008,8.5
cri,2009,8.4
cri,2010,8.4
cri,2011,8.3
cri,2012,8.3
cri,2013,8.2
cri,2014,8.2
cri,2015,8.2
cri,2016,8.1
cri,2017,8.1
cri,2018,8.1
cri,2019,8.1
cri,2020,8.1
cub,2000,7.8
cub,2001,8
cub,2002,8.1
cub,2003,8.3
cub,2004,8.4
cub,2005,8.6
cub,2006,8.8
cub,2007,8.8
cub,2008,8.9
cub,2009,8.9
cub,2010,9
cub,2011,9.1
cub,2012,9.2
cub,2013,9.3
cub,2014,9.4
cub,2015,9.5
cub,2016,9.6
cub,2017,9.7
cub,2018,9.8
cub,2019,9.9
cub,2020,10
cze,2000,4.9
cze,2001,5
cze,2002,5
cze,2003,5.1
cze,2004,5.1
cze,2005,5.2
cze,2006,5.3
cze,2007,5.4
cze,2008,5.5
cze,2009,5.6
cze,2010,5.7
cze,2011,5.8
cze,2012,5.9
cze,2013,6
cze,2014,6.1
cze,2015,6.2
cze,2016,6.2
cze,2017,6.3
cze,2018,6.4
cze,2019,6.5
cze,2020,6.6
deu,2000,3.6
deu,2001,3.6
deu,2002,3.6
deu,2003,3.6
deu,2004,3.5
deu,2005,3.5
deu,2006,3.6
deu,2007,3.6
deu,2008,3.6
deu,2009,3.6
deu,2010,3.6
deu,2011,3.7
deu,2012,3.7
deu,2013,3.8
deu,2014,3.8
deu,2015,3.8
deu,2016,3.9
deu,2017,3.9
deu,2018,4
deu,2019,4.1
deu,2020,4.1
dji,2000,8
dji,2001,8.5
dji,2002,8.8
dji,2003,9.1
dji,2004,9.1
dji,2005,9
dji,2006,8.8
dji,2007,8.5
dji,2008,8.1
dji,2009,7.8
dji,2010,7.6
dji,2011,7.4
dji,2012,7.2
dji,2013,7.1
dji,2014,7
dji,2015,6.9
dji,2016,7
dji,2017,7
dji,2018,7.1
dji,2019,7.2
dji,2020,7.2
dom,2000,6.8
dom,2001,6.9
dom,2002,7.1
dom,2003,7.2
dom,2004,7.3
dom,2005,7.4
dom,2006,7.5
dom,2007,7.6
dom,2008,7.7
dom,2009,7.7
dom,2010,7.8
dom,2011,7.8
dom,2012,7.8
dom,2013,7.7
dom,2014,7.7
dom,2015,7.7
dom,2016,7.7
dom,2017,7.7
dom,2018,7.7
dom,2019,7.7
dom,2020,7.6
dza,2000,13
dza,2001,13.2
dza,2002,13.4
dza,2003,13.5
dza,2004,13.6
dza,2005,13.7
dza,2006,13.8
dza,2007,13.8
dza,2008,13.8
dza,2009,13.7
dza,2010,13.6
dza,2011,13.6
dza,2012,13.5
dza,2013,13.4
dza,2014,13.3
dza,2015,13.2
dza,2016,13.1
dza,2017,13.1
dza,2018,13
dza,2019,12.9
dza,2020,12.9
ecu,2000,4.5
ecu,2001,4.6
ecu,2002,4.8
ecu,2003,4.9
ecu,2004,5.1
ecu,2005,5.3
ecu,2006,5.6
ecu,2007,5.8
ecu,2008,6.1
ecu,2009,6.4
ecu,2010,6.6
ecu,2011,6.9
ecu,2012,7.3
ecu,2013,7.6
ecu,2014,7.9
ecu,2015,8.3
ecu,2016,8.6
ecu,2017,8.9
ecu,2018,9.3
ecu,2019,9.6
ecu,2020,9.8
egy,2000,13.9
egy,2001,14
egy,2002,14.2
egy,2003,14.3
egy,2004,14.4
egy,2005,14.6
egy,2006,14.7
egy,2007,14.8
egy,2008,15
egy,2009,15.2
egy,2010,15.4
egy,2011,15.6
egy,2012,15.8
egy,2013,16
egy,2014,16.3
egy,2015,16.5
egy,2016,16.8
egy,2017,17
egy,2018,17.3
egy,2019,17.6
egy,2020,17.8
eri,2000,2
eri,2001,2.1
eri,2002,2.1
eri,2003,2.2
eri,2004,2.1
eri,2005,2.1
eri,2006,2
eri,2007,2
eri,2008,1.9
eri,2009,1.8
eri,2010,1.8
eri,2011,1.7
eri,2012,1.7
eri,2013,1.7
eri,2014,1.7
eri,2015,1.7
eri,2016,1.8
eri,2017,1.8
eri,2018,1.9
eri,2019,2
eri,2020,2.1
est,2000,4
est,2001,4.1
est,2002,4.1
est,2003,4.2
est,2004,4.3
est,2005,4.3
est,2006,4.4
est,2007,4.5
est,2008,4.6
est,2009,4.8
est,2010,4.9
est,2011,5
est,2012,5.1
est,2013,5.2
est,2014,5.2
est,2015,5.3
est,2016,5.3
est,2017,5.5
est,2018,5.6
est,2019,5.6
est,2020,5.7
eth,2000,3.2
eth,2001,3.3
eth,2002,3.4
eth,2003,3.4
eth,2004,3.4
eth,2005,3.3
eth,2006,3.2
eth,2007,3
eth,2008,2.9
eth,2009,2.7
eth,2010,2.6
eth,2011,2.5
eth,2012,2.5
eth,2013,2.4
eth,2014,2.4
eth,2015,2.4
eth,2016,2.4
eth,2017,2.4
eth,2018,2.5
eth,2019,2.6
eth,2020,2.6
fji,2000,3.8
fji,2001,3.9
fji,2002,4
fji,2003,4.1
fji,2004,4.2
fji,2005,4.3
fji,2006,4.4
fji,2007,4.5
fji,2008,4.5
fji,2009,4.6
fji,2010,4.7
fji,2011,4.7
fji,2012,4.8
fji,2013,4.9
fji,2014,4.9
fji,2015,5
fji,2016,5
fji,2017,5.1
fji,2018,5.1
fji,2019,5.2
fji,2020,5.2
gab,2000,6.6
gab,2001,7
gab,2002,7.3
gab,2003,7.5
gab,2004,7.6
gab,2005,7.6
gab,2006,7.5
gab,2007,7.3
gab,2008,7.1
gab,2009,6.9
gab,2010,6.7
gab,2011,6.6
gab,2012,6.5
gab,2013,6.5
gab,2014,6.5
gab,2015,6.6
gab,2016,6.7
gab,2017,6.8
gab,2018,7
gab,2019,7.2
gab,2020,7.4
geo,2000,16.8
geo,2001,17.6
geo,2002,18.3
geo,2003,18.9
geo,2004,19.2
geo,2005,19.2
geo,2006,19
geo,2007,18.6
geo,2008,17.9
geo,2009,17
geo,2010,16
geo,2011,14.9
geo,2012,13.7
geo,2013,12.6
geo,2014,11.5
geo,2015,10.5
geo,2016,9.7
geo,2017,9
geo,2018,8.4
geo,2019,8
geo,2020,7.6
gha,2000,3.5
gha,2001,3.7
gha,2002,3.9
gha,2003,3.9
gha,2004,3.9
gha,2005,3.7
gha,2006,3.3
gha,2007,3
gha,2008,2.7
gha,2009,2.5
gha,2010,2.4
gha,2011,2.3
gha,2012,2.2
gha,2013,2.2
gha,2014,2.3
gha,2015,2.3
gha,2016,2.4
gha,2017,2.5
gha,2018,2.6
gha,2019,2.7
gha,2020,2.9
gin,2000,5.4
gin,2001,5.8
gin,2002,6.1
gin,2003,6.3
gin,2004,6.3
gin,2005,6.1
gin,2006,5.6
gin,2007,5.2
gin,2008,4.7
gin,2009,4.5
gin,2010,4.3
gin,2011,4.2
gin,2012,4.1
gin,2013,4.2
gin,2014,4.3
gin,2015,4.4
gin,2016,4.6
gin,2017,4.8
gin,2018,5.1
gin,2019,5.4
gin,2020,5.7
gmb,2000,3.2
gmb,2001,3.4
gmb,2002,3.5
gmb,2003,3.6
gmb,2004,3.5
gmb,2005,3.2
gmb,2006,2.9
gmb,2007,2.6
gmb,2008,2.3
gmb,2009,2.1
gmb,2010,2
gmb,2011,1.9
gmb,2012,1.9
gmb,2013,1.8
gmb,2014,1.8
gmb,2015,1.9
gmb,2016,1.9
gmb,2017,2
gmb,2018,2.1
gmb,2019,2.2
gmb,2020,2.3
gnb,2000,4.7
gnb,2001,4.9
gnb,2002,5.1
gnb,2003,5.2
gnb,2004,5
gnb,2005,4.7
gnb,2006,4.3
gnb,2007,3.8
