geo,time,sm_pop_totl_zs
abw,1990,23.24129
abw,1995,27.7295
abw,2000,33.13302
abw,2005,32.52992
abw,2010,33.78741
abw,2015,34.7621
afg,1990,0.47802
afg,1995,0.42642
afg,2000,0.38533
afg,2005,0.35779
afg,2010,0.36566
afg,2015,1.17555
ago,1990,0.3012
ago,1995,0.30525
ago,2000,0.30619
ago,2005,0.34237
ago,2010,0.36074
ago,2015,0.427
alb,1990,2.0117
alb,1995,2.29676
alb,2000,2.45663
alb,2005,2.10043
alb,2010,1.81896
alb,2015,1.98904
and,1990,71.36908
and,1995,63.46509
and,2000,64.44441
and,2005,61.92581
and,2010,61.66029
and,2015,59.71365
are,1990,72.12831
are,1995,77.6157
are,2000,80.21549
are,2005,73.20512
are,2010,87.84023
are,2015,88.40405
arg,1990,5.04104
arg,1995,4.55801
arg,2000,4.1563
arg,2005,4.27402
arg,2010,4.38096
arg,2015,4.80529
arm,1990,18.58521
arm,1995,21.53155
arm,2000,21.38749
arm,2005,15.55993
arm,2010,7.47631
arm,2015,6.33589
asm,1990,45.24063
asm,1995,43.68499
asm,2000,43.30865
asm,2005,40.99159
asm,2010,42.3377
asm,2015,41.80201
atg,1990,19.43107
atg,1995,25.67704
atg,2000,29.71229
atg,2005,29.96548
atg,2010,30.27753
atg,2015,30.58551
aus,1990,23.13414
aus,1995,22.91521
aus,2000,22.95594
aus,2005,24.06019
aus,2010,26.54431
aus,2015,28.21841
aut,1990,10.29302
aut,1995,11.22428
aut,2000,12.37811
aut,2005,13.7983
aut,2010,15.20489
aut,2015,17.46573
aze,1990,4.99688
aze,1995,4.42773
aze,2000,4.03487
aze,2005,3.52921
aze,2010,3.0429
aze,2015,2.70906
bdi,1990,5.93447
bdi,1995,4.08482
bdi,2000,1.85646
bdi,2005,2.17884
bdi,2010,2.48659
bdi,2015,2.56563
bel,1990,8.93481
bel,1995,8.71172
bel,2000,8.31065
bel,2005,8.24568
bel,2010,9.63263
bel,2015,12.28353
ben,1990,1.52385
ben,1995,1.75371
ben,2000,1.92435
ben,2005,2.09596
ben,2010,2.20054
ben,2015,2.25554
bfa,1990,3.9684
bfa,1995,4.30975
bfa,2000,4.48003
bfa,2005,4.44774
bfa,2010,4.31104
bfa,2015,3.89204
bgd,1990,0.83185
bgd,1995,0.78929
bgd,2000,0.75247
bgd,2005,0.81627
bgd,2010,0.88747
bgd,2015,0.88375
bgr,1990,0.24385
bgr,1995,0.38807
bgr,2000,0.54197
bgr,2005,0.79496
bgr,2010,1.02989
bgr,2015,1.4282
bhr,1990,34.92572
bhr,1995,36.53859
bhr,2000,35.89401
bhr,2005,46.59879
bhr,2010,52.1562
bhr,2015,51.12679
bhs,1990,10.4764
bhs,1995,11.29891
bhs,2000,12.23736
bhs,2005,13.84843
bhs,2010,15.16947
bhs,2015,15.2843
bih,1990,1.23702
bih,1995,1.79095
bih,2000,2.18705
bih,2005,1.23317
bih,2010,1.01146
bih,2015,0.91336
blr,1990,12.2066
blr,1995,11.67631
blr,2000,11.28999
blr,2005,11.48248
blr,2010,11.48719
blr,2015,11.40401
blz,1990,16.21097
blz,1995,16.16045
blz,2000,14.75383
blz,2005,14.62304
blz,2010,14.41502
blz,2015,14.9908
bmu,1990,25.73895
bmu,1995,26.59904
bmu,2000,27.59116
bmu,2005,28.06339
bmu,2010,29.52747
bmu,2015,30.8464
bol,1990,1.07578
bol,1995,1.10481
bol,2000,1.11107
bol,2005,1.18071
bol,2010,1.23859
bol,2015,1.33327
bra,1990,0.53095
bra,1995,0.45563
bra,2000,0.38945
bra,2005,0.33881
bra,2010,0.29835
bra,2015,0.34331
brb,1990,9.22673
brb,1995,9.89727
brb,2000,10.53373
brb,2005,11.17611
brb,2010,11.74141
brb,2015,12.1299
brn,1990,28.48925
brn,1995,28.72716
brn,2000,29.1317
brn,2005,27.20199
brn,2010,25.575
brn,2015,24.27597
btn,1990,4.44571
btn,1995,5.49659
btn,2000,5.69616
btn,2005,6.1857
btn,2010,6.7227
btn,2015,6.59577
bwa,1990,1.99375
bwa,1995,2.54826
bwa,2000,3.286
bwa,2005,4.7655
bwa,2010,5.90439
bwa,2015,7.10033
caf,1990,2.28856
caf,1995,2.98911
caf,2000,3.31528
caf,2005,2.32885
caf,2010,2.10273
caf,2015,1.66517
can,1990,15.66499
can,1995,16.60363
can,2000,17.953
can,2005,18.84587
can,2010,20.54501
can,2015,21.80166
chanisl,1990,43.8334
chanisl,1995,42.0125
chanisl,2000,43.23483
chanisl,2005,45.97662
chanisl,2010,48.61483
chanisl,2015,50.28163
che,1990,20.86153
che,1995,21.07482
che,2000,21.92085
che,2005,24.36945
che,2010,26.50116
che,2015,29.38669
chl,1990,0.81805
chl,1995,1.00336
chl,2000,1.16894
chl,2005,1.6984
chl,2010,2.17123
chl,2015,2.61551
chn,1990,0.0326
chn,1995,0.03601
chn,2000,0.04
chn,2005,0.052
chn,2010,0.06338
chn,2015,0.07108
civ,1990,14.93046
civ,1995,14.41506
civ,2000,12.07253
civ,2005,11.08949
civ,2010,10.40739
civ,2015,9.5826
cmr,1990,2.19831
cmr,1995,1.77223
cmr,2000,1.43387
cmr,2005,1.42736
cmr,2010,1.40399
cmr,2015,1.63631
cod,1990,2.15714
cod,1995,4.30727
cod,2000,1.54924
cod,2005,1.11049
cod,2010,0.89318
cod,2015,0.70625
cog,1990,5.4305
cog,1995,7.0421
cog,2000,9.80944
cog,2005,8.99887
cog,2010,10.32073
cog,2015,8.5058
col,1990,0.30427
col,1995,0.28562
col,2000,0.27128
col,2005,0.24861
col,2010,0.27064
col,2015,0.27605
com,1990,3.39135
com,1995,2.90654
com,2000,2.51946
com,2005,2.1352
com,2010,1.80594
com,2015,1.59232
cpv,1990,2.6171
cpv,1995,2.56427
cpv,2000,2.51335
cpv,2005,2.67806
cpv,2010,2.931
cpv,2015,2.86723
cri,1990,13.4893
cri,1995,10.37581
cri,2000,7.92128
cri,2005,8.43193
cri,2010,8.91924
cri,2015,8.77101
cub,1990,0.32654
cub,1995,0.24011
cub,2000,0.16028
cub,2005,0.15117
cub,2010,0.13104
cub,2015,0.11709
cym,1990,37.53449
cym,1995,45.21344
cym,2000,46.18688
cym,2005,44.53654
cym,2010,43.33892
cym,2015,39.56509
cyp,1990,5.71411
cyp,1995,7.24127
cyp,2000,8.48904
cyp,2005,11.34675
cyp,2010,17.02687
cyp,2015,16.83403
cze,1990,1.06933
cze,1995,1.60216
cze,2000,2.15131
cze,2005,3.15261
cze,2010,3.78604
cze,2015,3.84223
deu,1990,7.51813
deu,1995,9.14611
deu,2000,10.98056
deu,2005,12.67639
deu,2010,14.4286
deu,2015,14.87905
dji,1990,20.77331
dji,1995,15.09267
dji,2000,13.90981
dji,2005,11.83072
dji,2010,12.22614
dji,2015,12.65412
dma,1990,3.55149
dma,1995,4.37317
dma,2000,5.34307
dma,2005,6.72507
dma,2010,8.10066
dma,2015,9.24601
dnk,1990,4.57537
dnk,1995,5.7927
dnk,2000,6.95029
dnk,2005,8.12861
dnk,2010,9.18292
dnk,2015,10.09899
dom,1990,4.05297
dom,1995,4.09736
dom,2000,4.15306
dom,2005,4.07035
dom,2010,3.97778
dom,2015,3.94708
dza,1990,1.05723
dza,1995,0.90655
dza,2000,0.80205
dza,2005,0.74407
dza,2010,0.67977
dza,2015,0.61107
ecu,1990,0.76984
ecu,1995,1.00601
ecu,2000,1.19984
ecu,2005,1.3644
ecu,2010,2.17859
ecu,2015,2.4003
egy,1990,0.30801
egy,1995,0.26741
egy,2000,0.25383
egy,2005,0.36562
egy,2010,0.36045
egy,2015,0.53727
eri,1990,0.37744
eri,1995,0.3919
eri,2000,0.36638
eri,2005,0.34152
eri,2010,0.33427
esp,1990,2.09636
esp,1995,2.56529
esp,2000,4.06698
esp,2005,9.36552
esp,2010,13.4761
esp,2015,12.69024
est,1990,24.40376
est,1995,22.03337
est,2000,17.83318
est,2005,17.23888
est,2010,16.35702
est,2015,15.41631
eth,1990,2.4042
eth,1995,1.40975
eth,2000,0.92015
eth,2005,0.67126
eth,2010,0.64836
eth,2015,1.07953
fin,1990,1.26847
fin,1995,1.95234
fin,2000,2.63119
fin,2005,3.6629
fin,2010,4.62275
fin,2015,5.73968
fji,1990,1.82302
fji,1995,1.67647
fji,2000,1.56788
fji,2005,1.51311
fji,2010,1.55253
fji,2015,1.54134
fra,1990,10.35638
fra,1995,10.45615
fra,2000,10.57251
fra,2005,11.00165
fra,2010,11.43004
fra,2015,12.08848
fro,1990,8.92132
fro,1995,6.57611
fro,2000,7.72838
fro,2005,9.48135
fro,2010,10.49272
fro,2015,11.4463
fsm,1990,3.82535
fsm,1995,3.10722
fsm,2000,2.90049
fsm,2005,2.73546
fsm,2010,2.70703
fsm,2015,2.63833
gab,1990,13.43948
gab,1995,14.08
gab,2000,15.8801
gab,2005,15.54119
gab,2010,15.82374
gab,2015,15.55586
gbm,1990,49.4496
gbm,1995,51.10209
gbm,2000,50.77989
gbm,2005,51.62113
gbm,2010,51.52205
gbm,2015,51.51629
gbr,1990,6.39166
gbr,1995,7.1762
gbr,2000,8.03534
gbr,2005,9.84248
gbr,2010,12.1253
gbr,2015,13.20098
geo,1990,6.19562
geo,1995,5.49521
geo,2000,4.60832
geo,2005,4.46464
geo,2010,4.28697
geo,2015,4.22025
gha,1990,1.12694
gha,1995,1.50874
gha,2000,1.0178
gha,2005,1.4233
gha,2010,1.38589
gha,2015,1.4574
gib,1990,32.4563
gib,1995,30.71651
gib,2000,29.44682
gib,2005,31.67469
gib,2010,33.74008
gib,2015,34.34522
gin,1990,6.68902
gin,1995,9.84995
gin,2000,6.36509
gin,2005,2.37471
gin,2010,1.86254
gin,2015,1.81157
gmb,1990,12.88412
gmb,1995,14.15816
gmb,2000,14.85227
gmb,2005,12.62754
gmb,2010,10.9724
gmb,2015,9.67089
gnb,1990,1.45502
gnb,1995,2.36782
gnb,2000,1.5546
gnb,2005,1.41757
gnb,2010,1.28877
gnb,2015,1.2109
gnq,1990,0.72609
gnq,1995,0.80944
gnq,2000,0.85083
gnq,2005,1.05262
gnq,2010,1.18813
gnq,2015,1.28097
grc,1990,6.10102
grc,1995,8.06161
grc,2000,10.14845
grc,2005,10.75649
grc,2010,11.35986
grc,2015,11.34238
grd,1990,4.42743
grd,1995,5.53001
grd,2000,6.7162
grd,2005,6.70416
grd,2010,6.66813
grd,2015,6.60613
grl,1990,16.93434
grl,1995,13.11616
grl,2000,12.02514
grl,2005,11.7395
grl,2010,11.0105
grl,2015,10.69484
gtm,1990,2.88536
gtm,1995,1.50799
gtm,2000,0.41167
gtm,2005,0.43427
gtm,2010,0.4506
gtm,2015,0.46719
gum,1990,53.45948
gum,1995,49.403
gum,2000,47.68619
gum,2005,47.18594
gum,2010,47.30055
gum,2015,44.78853
guy,1990,0.56853
guy,1995,0.87409
guy,2000,1.16004
guy,2005,1.46371
guy,2010,1.74232
guy,2015,2.00551
hkg,1990,38.28892
hkg,1995,39.77213
hkg,2000,39.34726
hkg,2005,39.76981
hkg,2010,39.75008
hkg,2015,38.94994
hnd,1990,5.51505
hnd,1995,2.67284
hnd,2000,0.45588
hnd,2005,0.40515
hnd,2010,0.36365
hnd,2015,0.34761
hrv,1990,9.95395
hrv,1995,14.60082
hrv,2000,13.21791
hrv,2005,13.23128
hrv,2010,13.28062
hrv,2015,13.60471
hti,1990,0.2688
hti,1995,0.28719
hti,2000,0.30216
hti,2005,0.32891
hti,2010,0.35105
hti,2015,0.36905
hun,1990,3.34625
hun,1995,3.11277
hun,2000,2.90448
hun,2005,3.63301
hun,2010,4.35978
hun,2015,4.56247
idn,1990,0.25662
idn,1995,0.19241
idn,2000,0.13818
idn,2005,0.12798
idn,2010,0.12641
idn,2015,0.12768
ind,1990,0.86069
ind,1995,0.72353
ind,2000,0.60858
ind,2005,0.51765
ind,2010,0.4416
ind,2015,0.39975
irl,1990,6.39782
irl,1995,6.22418
irl,2000,9.12522
irl,2005,14.01256
irl,2010,15.82173
irl,2015,15.91694
irn,1990,7.64049
irn,1995,4.87025
irn,2000,4.25786
irn,2005,3.66351
irn,2010,3.71911
irn,2015,3.4464
irq,1990,0.47852
irq,1995,0.98656
irq,2000,0.89301
irq,2005,0.49196
irq,2010,0.38029
irq,2015,0.97158
isl,1990,3.76094
isl,1995,4.76269
isl,2000,5.65121
isl,2005,8.59054
isl,2010,11.03345
isl,2015,11.39015
isr,1990,36.28908
isr,1995,33.61425
isr,2000,30.7848
isr,2005,28.61289
isr,2010,26.28731
isr,2015,24.9469
ita,1990,2.50531
ita,1995,3.10741
ita,2000,3.71268
ita,2005,6.74219
ita,2010,9.71318
ita,2015,9.68077
jam,1990,0.8582
jam,1995,0.91234
jam,2000,0.95966
jam,2005,0.90795
jam,2010,0.86373
jam,2015,0.82937
jor,1990,34.13325
jor,1995,35.57965
jor,2000,40.43743
jor,2005,43.60438
jor,2010,41.77692
jor,2015,40.97711
jpn,1990,0.87986
jpn,1995,1.10946
jpn,2000,1.34158
jpn,2005,1.58524
jpn,2010,1.67621
jpn,2015,1.61478
kaz,1990,21.8947
kaz,1995,20.37717
kaz,2000,19.19733
kaz,2005,20.08162
kaz,2010,20.44448
kaz,2015,20.12331
ken,1990,1.26797
ken,1995,2.26042
ken,2000,2.25051
ken,2005,2.1412
ken,2010,2.29853
ken,2015,2.35472
kgz,1990,14.17869
kgz,1995,11.11239
kgz,2000,7.86216
kgz,2005,6.11668
kgz,2010,4.23658
kgz,2015,3.4408
khm,1990,0.42597
khm,1995,0.86241
khm,2000,1.19762
khm,2005,0.85608
khm,2010,0.57073
khm,2015,0.47479
kir,1990,2.98573
kir,1995,2.86001
kir,2000,2.70478
kir,2005,2.69363
kir,2010,2.79401
kir,2015,2.80459
kna,1990,7.86129
kna,1995,9.90487
kna,2000,12.89083
kna,2005,13.59816
kna,2010,13.83901
kna,2015,13.39344
kor,1990,0.1001
kor,1995,0.27744
kor,2000,0.52845
kor,2005,1.01993
kor,2010,1.87263
kor,2015,2.63916
kwt,1990,52.18449
kwt,1995,56.31866
kwt,2000,58.44299
